9836272|100|80|2015/12/01 00:12:23
9836272|101|100|2015/12/01 01:12:23
9836272|102|100|2015/12/01 02:12:23
9836272|103|90|2015/12/01 03:12:23
9836272|104|100|2015/12/01 04:12:23
9836272|105|100|2015/12/01 05:12:23
9836272|106|100|2015/12/01 06:12:23
9836272|107|100|2015/12/01 07:12:23
9836272|108|100|2015/12/01 08:12:23
9836272|109|100|2015/12/01 09:12:23
9836272|110|101|2015/12/01 10:12:23
9836272|20|102|2015/12/01 11:12:23
9836272|100|103|2015/12/01 12:12:23
9836272|30|110|2015/12/01 13:12:23
9836272|100|120|2015/12/01 14:12:23
9836272|40|130|2015/12/01 15:12:23
9836272|100|107|2015/12/01 16:12:23
9836272|100|108|2015/12/01 17:12:23
